user_id,pid,preferred
1,p35,org
1,p41,lark
1,p26,perpetua
1,p33,aden
1,p10,valencia
1,p07,org
1,p01,org
1,p08,hudson
1,p18,brooklyn
1,p16,earlybird
1,p12,mayfair
1,p22,org
1,p13,rise
1,p27,rise
1,p15,slumber
1,p28,lark
1,p02,org
1,p09,rise
1,p25,brooklyn
1,p06,perpetua
1,p03,org
1,p39,brooklyn
1,p54,perpetua
1,p51,valencia
1,p42,xpro2
1,p24,perpetua
1,p20,aden
1,p38,reyes
1,p53,lark
1,p11,earlybird
1,p30,slumber
1,p50,slumber
1,p36,slumber
1,p05,slumber
1,p04,brooklyn
1,p48,mayfair
1,p14,org
1,p47,perpetua
1,p21,perpetua
1,p31,perpetua
1,p29,org
1,p49,slumber
1,p23,rise
1,p46,slumber
1,p43,aden
1,p37,slumber
1,p52,rise
1,p19,org
1,p45,slumber
1,p34,brooklyn
1,p32,org
1,p40,lark
1,p44,brooklyn
1,p17,rise
2,p17,earlybird
2,p43,xpro2
2,p37,perpetua
2,p33,perpetua
2,p18,mayfair
2,p54,perpetua
2,p47,lofi
2,p07,hudson
2,p09,slumber
2,p01,maven
2,p46,toaster
2,p11,earlybird
2,p40,perpetua
2,p25,kelvin
2,p10,gingham
2,p53,willow
2,p24,clarendon
2,p29,brooklyn
2,p22,kelvin
2,p12,lofi
2,p03,valencia
2,p21,valencia
2,p35,perpetua
2,p41,inkwell
2,p45,mayfair
2,p42,aden
2,p30,mayfair
2,p36,lark
2,p14,org
2,p50,toaster
2,p26,maven
2,p02,brooklyn
2,p05,org
2,p27,gingham
2,p31,slumber
2,p23,slumber
2,p32,perpetua
2,p39,hudson
2,p04,nashville
2,p08,org
2,p48,lofi
2,p34,clarendon
2,p38,stinson
2,p20,kelvin
2,p51,org
2,p28,hudson
2,p19,lofi
2,p06,brooklyn
2,p44,maven
2,p13,perpetua
2,p16,reyes
2,p52,gingham
2,p49,earlybird
2,p15,rise
3,p33,walden
3,p04,perpetua
3,p02,xpro2
3,p43,mayfair
3,p07,lofi
3,p45,inkwell
3,p06,clarendon
3,p28,perpetua
3,p36,hudson
3,p10,kelvin
3,p32,slumber
3,p46,clarendon
3,p14,clarendon
3,p51,earlybird
3,p38,rise
3,p18,clarendon
3,p30,org
3,p01,clarendon
3,p29,lofi
3,p54,kelvin
3,p35,perpetua
3,p16,kelvin
3,p25,clarendon
3,p08,perpetua
3,p41,moon
3,p47,gingham
3,p15,org
3,p03,lark
3,p40,lofi
3,p19,earlybird
3,p23,maven
3,p52,gingham
3,p50,clarendon
3,p26,kelvin
3,p48,xpro2
3,p27,mayfair
3,p17,brooklyn
3,p22,org
3,p44,clarendon
3,p53,clarendon
3,p34,lofi
3,p39,lofi
3,p11,kelvin
3,p21,valencia
3,p49,org
3,p37,perpetua
3,p24,lofi
3,p12,brannan
3,p13,brooklyn
3,p42,lofi
3,p05,nashville
3,p31,slumber
3,p20,kelvin
3,p09,perpetua
4,p47,gingham
4,p15,reyes
4,p46,clarendon
4,p42,reyes
4,p03,valencia
4,p17,rise
4,p08,clarendon
4,p14,reyes
4,p51,reyes
4,p20,lofi
4,p07,lofi
4,p34,org
4,p09,org
4,p50,org
4,p27,org
4,p06,mayfair
4,p43,org
4,p32,org
4,p10,kelvin
4,p44,nashville
4,p30,gingham
4,p35,aden
4,p25,willow
4,p49,xpro2
4,p04,kelvin
4,p52,rise
4,p39,clarendon
4,p05,kelvin
4,p45,gingham
4,p01,clarendon
4,p12,maven
4,p11,org
4,p24,rise
4,p38,brooklyn
4,p13,earlybird
4,p31,clarendon
4,p02,valencia
4,p23,perpetua
4,p48,lofi
4,p22,slumber
4,p18,earlybird
4,p53,moon
4,p37,kelvin
4,p26,stinson
4,p19,lark
4,p36,perpetua
4,p21,brooklyn
4,p54,nashville
4,p41,rise
4,p28,gingham
4,p40,nashville
4,p16,toaster
4,p29,slumber
4,p33,brooklyn
5,p29,xpro2
5,p18,mayfair
5,p03,xpro2
5,p53,willow
5,p20,brannan
5,p35,maven
5,p28,brooklyn
5,p36,gingham
5,p39,brannan
5,p34,brooklyn
5,p43,xpro2
5,p15,org
5,p01,lark
5,p50,gingham
5,p02,valencia
5,p04,clarendon
5,p52,gingham
5,p37,org
5,p21,valencia
5,p47,willow
5,p12,inkwell
5,p09,clarendon
5,p41,inkwell
5,p19,_1977
5,p08,gingham
5,p13,lofi
5,p27,mayfair
5,p17,reyes
5,p16,inkwell
5,p33,gingham
5,p45,gingham
5,p51,gingham
5,p10,brooklyn
5,p24,gingham
5,p31,aden
5,p49,brannan
5,p44,xpro2
5,p07,moon
5,p11,brooklyn
5,p48,stinson
5,p14,lofi
5,p05,valencia
5,p38,reyes
5,p42,valencia
5,p40,gingham
5,p32,hudson
5,p26,reyes
5,p06,aden
5,p25,gingham
5,p23,gingham
5,p22,reyes
5,p30,gingham
5,p46,_1977
5,p54,gingham
6,p10,moon
6,p49,perpetua
6,p23,inkwell
6,p53,perpetua
6,p03,mayfair
6,p17,kelvin
6,p27,walden
6,p07,lofi
6,p48,brannan
6,p32,lark
6,p28,rise
6,p30,brannan
6,p21,earlybird
6,p11,clarendon
6,p54,willow
6,p37,brannan
6,p52,lofi
6,p15,mayfair
6,p43,clarendon
6,p20,brannan
6,p45,clarendon
6,p13,xpro2
6,p09,mayfair
6,p31,org
6,p19,maven
6,p05,mayfair
6,p16,perpetua
6,p04,perpetua
6,p33,aden
6,p36,rise
6,p02,aden
6,p34,mayfair
6,p26,rise
6,p39,lofi
6,p46,clarendon
6,p24,perpetua
6,p01,clarendon
6,p44,mayfair
6,p29,perpetua
6,p14,brooklyn
6,p06,brannan
6,p50,brannan
6,p47,willow
6,p22,clarendon
6,p12,lofi
6,p25,lofi
6,p18,lofi
6,p38,rise
6,p41,inkwell
6,p40,org
6,p35,hudson
6,p51,org
6,p42,lofi
6,p08,xpro2
7,p43,clarendon
7,p06,brooklyn
7,p51,lofi
7,p25,kelvin
7,p08,kelvin
7,p03,clarendon
7,p19,lofi
7,p18,brooklyn
7,p36,willow
7,p20,kelvin
7,p24,_1977
7,p11,kelvin
7,p47,perpetua
7,p38,gingham
7,p45,lofi
7,p22,brannan
7,p09,mayfair
7,p29,brannan
7,p35,perpetua
7,p49,valencia
7,p07,clarendon
7,p54,stinson
7,p13,xpro2
7,p01,valencia
7,p48,valencia
7,p27,perpetua
7,p50,_1977
7,p15,org
7,p02,reyes
7,p26,gingham
7,p31,earlybird
7,p42,maven
7,p21,kelvin
7,p32,earlybird
7,p17,clarendon
7,p39,brooklyn
7,p46,mayfair
7,p53,inkwell
7,p10,reyes
7,p28,perpetua
7,p40,gingham
7,p23,perpetua
7,p05,toaster
7,p16,inkwell
7,p33,reyes
7,p30,stinson
7,p41,rise
7,p12,kelvin
7,p04,valencia
7,p37,rise
7,p52,gingham
7,p34,hudson
7,p14,brooklyn
7,p44,mayfair
8,p43,valencia
8,p08,org
8,p27,lark
8,p10,brannan
8,p04,lark
8,p51,reyes
8,p11,clarendon
8,p45,reyes
8,p06,willow
8,p42,kelvin
8,p15,earlybird
8,p28,org
8,p01,earlybird
8,p35,aden
8,p25,lofi
8,p33,slumber
8,p54,moon
8,p53,aden
8,p48,clarendon
8,p46,slumber
8,p24,earlybird
8,p50,reyes
8,p17,rise
8,p38,gingham
8,p02,mayfair
8,p41,willow
8,p23,lark
8,p49,willow
8,p22,rise
8,p16,_1977
8,p30,org
8,p52,gingham
8,p18,brooklyn
8,p09,rise
8,p29,earlybird
8,p14,gingham
8,p05,clarendon
8,p21,org
8,p37,_1977
8,p32,xpro2
8,p39,org
8,p40,aden
8,p13,slumber
8,p44,_1977
8,p12,gingham
8,p47,moon
8,p36,mayfair
8,p19,lark
8,p34,valencia
8,p03,valencia
8,p20,gingham
8,p26,lark
8,p31,lark
8,p07,kelvin
9,p10,perpetua
9,p51,hudson
9,p31,rise
9,p20,brooklyn
9,p33,perpetua
9,p03,aden
9,p54,slumber
9,p17,kelvin
9,p12,lofi
9,p14,rise
9,p40,hudson
9,p09,hudson
9,p44,rise
9,p01,perpetua
9,p25,mayfair
9,p19,lofi
9,p27,reyes
9,p41,gingham
9,p04,stinson
9,p29,lark
9,p36,reyes
9,p07,aden
9,p42,brannan
9,p32,hudson
9,p34,xpro2
9,p45,kelvin
9,p28,brooklyn
9,p08,lark
9,p13,gingham
9,p24,org
9,p16,slumber
9,p11,perpetua
9,p15,maven
9,p06,maven
9,p48,lark
9,p22,maven
9,p26,kelvin
9,p21,kelvin
9,p49,stinson
9,p39,org
9,p52,reyes
9,p30,reyes
9,p23,earlybird
9,p35,earlybird
9,p50,slumber
9,p53,stinson
9,p38,gingham
9,p05,reyes
9,p02,reyes
9,p46,moon
9,p43,slumber
9,p47,willow
9,p37,inkwell
9,p18,slumber
10,p12,inkwell
10,p44,walden
10,p05,inkwell
10,p45,lark
10,p15,slumber
10,p42,mayfair
10,p25,kelvin
10,p52,gingham
10,p18,org
10,p31,inkwell
10,p36,mayfair
10,p28,stinson
10,p39,brooklyn
10,p26,valencia
10,p07,aden
10,p37,moon
10,p19,inkwell
10,p38,reyes
10,p03,org
10,p40,stinson
10,p43,valencia
10,p02,brooklyn
10,p29,org
10,p20,toaster
10,p30,brooklyn
10,p35,gingham
10,p49,stinson
10,p10,maven
10,p04,org
10,p50,org
10,p33,rise
10,p32,kelvin
10,p23,kelvin
10,p46,walden
10,p27,earlybird
10,p01,nashville
10,p22,stinson
10,p16,lark
10,p14,org
10,p34,willow
10,p48,slumber
10,p21,brooklyn
10,p17,mayfair
10,p51,gingham
10,p09,gingham
10,p08,willow
10,p41,willow
10,p13,brooklyn
10,p53,lark
10,p06,brooklyn
10,p54,reyes
10,p47,xpro2
10,p11,maven
10,p24,brooklyn
11,p53,lark
11,p35,mayfair
11,p46,xpro2
11,p27,nashville
11,p30,mayfair
11,p41,clarendon
11,p15,lark
11,p52,gingham
11,p32,nashville
11,p12,kelvin
11,p07,hudson
11,p50,clarendon
11,p26,mayfair
11,p47,brooklyn
11,p45,brannan
11,p18,lofi
11,p28,clarendon
11,p04,nashville
11,p33,maven
11,p43,lofi
11,p09,lofi
11,p29,clarendon
11,p22,willow
11,p16,brannan
11,p54,xpro2
11,p25,mayfair
11,p40,kelvin
11,p51,xpro2
11,p36,mayfair
11,p17,org
11,p02,clarendon
11,p42,earlybird
11,p44,xpro2
11,p38,clarendon
11,p31,valencia
11,p08,lofi
11,p05,xpro2
11,p11,nashville
11,p19,xpro2
11,p49,willow
11,p34,lofi
11,p13,lark
11,p03,xpro2
11,p06,mayfair
11,p37,nashville
11,p23,xpro2
11,p14,inkwell
11,p21,perpetua
11,p01,brooklyn
11,p39,brannan
11,p20,valencia
11,p10,brooklyn
11,p24,lark
11,p48,kelvin
12,p20,aden
12,p47,gingham
12,p27,earlybird
12,p24,perpetua
12,p41,rise
12,p15,valencia
12,p26,org
12,p14,perpetua
12,p31,earlybird
12,p44,toaster
12,p46,kelvin
12,p21,hudson
12,p29,lark
12,p42,lofi
12,p48,aden
12,p51,mayfair
12,p17,moon
12,p03,xpro2
12,p08,earlybird
12,p13,clarendon
12,p54,rise
12,p30,willow
12,p05,inkwell
12,p01,mayfair
12,p28,brooklyn
12,p52,gingham
12,p37,kelvin
12,p12,kelvin
12,p10,rise
12,p25,lofi
12,p02,gingham
12,p43,org
12,p16,kelvin
12,p40,aden
12,p22,lark
12,p11,mayfair
12,p53,org
12,p09,clarendon
12,p39,perpetua
12,p35,slumber
12,p07,kelvin
12,p06,rise
12,p50,clarendon
12,p18,kelvin
12,p34,toaster
12,p49,moon
12,p33,slumber
12,p23,earlybird
12,p45,toaster
12,p04,clarendon
12,p36,reyes
12,p32,lofi
12,p38,moon
12,p19,xpro2
13,p53,perpetua
13,p39,earlybird
13,p13,brooklyn
13,p51,valencia
13,p01,mayfair
13,p17,rise
13,p42,org
13,p48,hudson
13,p40,org
13,p03,org
13,p23,org
13,p36,brooklyn
13,p46,org
13,p18,brooklyn
13,p14,clarendon
13,p38,gingham
