user_id,pid,preferred
1,p07,aden
1,p40,clarendon
1,p54,kelvin
1,p18,lark
1,p32,lofi
1,p41,lark
1,p15,lofi
1,p46,lofi
1,p33,org
1,p03,mayfair
1,p35,slumber
1,p31,xpro2
1,p14,clarendon
1,p20,clarendon
1,p52,mayfair
1,p30,kelvin
1,p08,nashville
1,p05,perpetua
1,p25,mayfair
1,p11,hudson
1,p04,earlybird
1,p28,inkwell
1,p43,clarendon
1,p37,lofi
1,p12,org
1,p19,brannan
1,p27,brannan
1,p22,clarendon
1,p48,perpetua
1,p44,clarendon
1,p39,mayfair
1,p23,lofi
1,p53,clarendon
1,p50,xpro2
1,p09,xpro2
1,p36,clarendon
1,p21,clarendon
1,p34,brannan
1,p47,earlybird
1,p49,kelvin
1,p51,kelvin
1,p26,nashville
1,p16,clarendon
1,p24,clarendon
1,p06,kelvin
1,p01,clarendon
1,p29,org
1,p38,perpetua
1,p45,aden
1,p10,clarendon
1,p13,kelvin
1,p17,clarendon
1,p42,xpro2
1,p02,kelvin
2,p08,lark
2,p11,clarendon
2,p38,perpetua
2,p16,moon
2,p18,mayfair
2,p12,xpro2
2,p17,clarendon
2,p46,kelvin
2,p34,toaster
2,p20,perpetua
2,p19,moon
2,p30,earlybird
2,p43,lofi
2,p50,xpro2
2,p41,lofi
2,p25,aden
2,p35,rise
2,p52,hudson
2,p51,earlybird
2,p45,perpetua
2,p03,earlybird
2,p28,kelvin
2,p42,org
2,p27,kelvin
2,p49,inkwell
2,p44,org
2,p22,lark
2,p23,kelvin
2,p26,perpetua
2,p06,gingham
2,p02,slumber
2,p01,reyes
2,p54,kelvin
2,p39,clarendon
2,p13,clarendon
2,p31,perpetua
2,p32,toaster
2,p15,lofi
2,p24,perpetua
2,p37,earlybird
2,p09,mayfair
2,p48,org
2,p29,perpetua
2,p10,hudson
2,p14,perpetua
2,p53,mayfair
2,p40,xpro2
2,p36,org
2,p04,kelvin
2,p33,hudson
2,p47,lofi
2,p07,lark
2,p05,inkwell
2,p21,mayfair
3,p23,maven
3,p18,clarendon
3,p40,maven
3,p08,lofi
3,p43,lofi
3,p45,earlybird
3,p11,xpro2
3,p42,org
3,p19,xpro2
3,p30,mayfair
3,p36,hudson
3,p33,mayfair
3,p09,lofi
3,p10,valencia
3,p41,lofi
3,p35,org
3,p26,brooklyn
3,p29,perpetua
3,p46,gingham
